x y
1.76779 0.20010
0.69139 1.96096
1.55308 1.06786
1.15723 1.45205
1.61621 0.41568
1.77376 -0.19193
1.12405 1.64653
1.29217 1.04416
1.33902 1.25344
1.61575 0.39999
1.54555 0.20299
1.71040 0.24820
1.15635 1.07886
1.47930 0.84762
1.60316 0.09277
1.59384 0.32834
1.59247 0.29621
1.90819 0.19233
1.54749 0.53500
0.73045 1.68329
1.17951 1.06583
1.39625 0.43267
0.60206 2.16291
0.59325 2.34114
1.68833 0.40616
1.52504 0.94542
1.35626 1.20041
1.29239 1.01498
0.72797 1.95179
1.43136 0.89266
1.83513 -0.14596
1.95154 0.51505
1.56964 0.84057
1.77229 0.72014
1.17641 1.32224
1.02338 1.59573
1.69011 0.45667
1.27687 1.03911
1.73698 0.40133
0.88021 1.62924
0.79664 1.82870
1.54532 0.89851
1.51410 0.59323
1.31685 1.12034
1.58455 0.46219
1.65000 0.26815
1.53088 0.40186
1.08405 1.40424
1.42384 0.85649
1.55278 0.46261
